filename,FLOPs,Unit
Travel.java,327.001G,85.132M
WorkspaceFacade.java,82.219G,85.132M
ElementListObserver.java,245.718G,85.132M
LoggingElementListObserver.java,409.217G,85.132M
ConditionNotSatisfiedDecorator.java,410.152G,85.132M
ExtendedAttributeTableModelDecorator.java,725.939G,85.132M
ReducedAttributeTableModelDecorator.java,657.736G,85.132M
HeaderMouseObserver.java,65.402G,85.132M
MouseObserver.java,60.730G,85.132M
TreeMouseObserver.java,239.178G,85.132M
AgeDecorator.java,278.418G,85.132M
BooleanDecorator.java,163.501G,85.132M
DateDecorator.java,254.127G,85.132M
Decorator.java,407.349G,85.132M
IDecorator.java,53.256G,85.132M
PrototypeWrapper.java,518.528G,85.132M
ColorMemento.java,301.775G,85.132M
GraphViewMappingFactory.java,147.619G,85.132M
GraphViewMappingFactoryImpl.java,877.292G,85.132M
GraphViewStyleFactory.java,94.365G,85.132M
GraphViewStyleFactoryImpl.java,538.148G,85.132M
InstancemodelFactory.java,151.356G,85.132M
InstancemodelFactoryImpl.java,918.401G,85.132M
GeometryProxy.java,1.310T,85.132M
RandomStyleBuilder.java,1.972T,85.132M
SingletonIterator.java,205.544G,85.132M
CORBAEJBMemento.java,385.860G,85.132M
DatumDecorator.java,1.220T,85.132M
DawidSkeneDecorator.java,692.305G,85.132M
Decorator.java,298.038G,85.132M
WorkerDecorator.java,741.821G,85.132M
CarroPrototipo.java,98.102G,85.132M
Chat.java,298.038G,85.132M
GUI.java,298.038G,85.132M
Market.java,435.377G,85.132M
Porsche911.java,159.764G,85.132M
Principal.java,174.713G,85.132M
Proto.java,225.164G,85.132M
Stock.java,298.038G,85.132M
Thread.java,413.889G,85.132M
Weather.java,370.912G,85.132M
SpatialIndexVisitor.java,44.848G,85.132M
ProtoTypeAdapter.java,2.553T,85.132M
ActionProxy.java,270.009G,85.132M
AWTEventListenerProxy.java,170.976G,85.132M
BeanContextChildComponentProxy.java,27.096G,85.132M
BeanContextContainerProxy.java,26.162G,85.132M
BeanContextProxy.java,20.556G,85.132M
EventListenerProxy.java,56.993G,85.132M
MockBeanContextProxy.java,107.445G,85.132M
MockBeanContextProxyS.java,231.704G,85.132M
Observable.java,331.672G,85.132M
PropertyChangeListenerProxy.java,112.116G,85.132M
Proxy.java,374.649G,85.132M
ProxySelector.java,229.835G,85.132M
ProxySelectorImpl.java,1.967T,85.132M
